,currency,rmape
0,bat (Tajlandia),2.4828661929784857
1,dolar amerykański,0.22628652279048397
2,dolar australijski,0.561946506347097
3,dolar Hongkongu,0.27726510586344816
4,dolar kanadyjski,0.4377904007999842
5,dolar nowozelandzki,0.617060437160848
6,dolar singapurski,0.6462759616119799
7,euro,0.4435761649075005
8,forint (Węgry),4.026066678907242
9,frank szwajcarski,1.4234328525429683
10,funt szterling,0.2032826345984911
11,hrywna (Ukraina),2.1316030938592863
12,jen (Japonia),2.545256035529844
13,korona czeska,0.6827419625563653
14,korona duńska,0.512383791602073
15,korona islandzka,0.7204388437430872
16,korona norweska,0.3468858432696854
17,korona szwedzka,0.6930823495254698
18,lej rumuński,0.46101936879782685
19,lew (Bułgaria),0.39104770659603527
20,lira turecka,5.8576081989248285
21,nowy izraelski szekel,0.3192612807216986
22,peso chilijskie,6.647859398861855
23,peso filipińskie,1.263378282682349
24,peso meksykańskie,0.3026264769276219
25,rand (Republika Południowej Afryki),0.6459506848733017
26,real (Brazylia),2.0822253963869457
27,ringgit (Malezja),0.7700574006233839
28,rupia indonezyjska,9.30653669227917
29,rupia indyjska,0.37859921723677015
30,won południowokoreański,6.117142918863018
31,yuan renminbi (Chiny),0.539648392465333
32,SDR (MFW),0.4643611435792186
33,afgani (Afganistan),3.2697728611990606
34,ariary (Madagaskar),6.58998407728513
35,balboa (Panama),0.9030974714279945
36,birr etiopski,2.048639983449227
37,boliwar soberano (Wenezuela),5.003797799286761
38,boliwiano (Boliwia),0.9051741600261695
39,colon kostarykański,0.5416593057918586
40,colon salwadorski,0.9505025801626994
41,cordoba oro (Nikaragua),1.1943479747219674
42,dalasi (Gambia),4.090998404460771
43,denar (Macedonia Północna),1.3317998317721524
44,dinar algierski,1.0730540862386402
45,dinar bahrajski,0.7917132063135022
46,dinar iracki,0.6895002341933594
47,dinar jordański,0.8778240373046295
48,dinar kuwejcki,0.954467822182572
49,dinar libijski,1.1531141558116638
50,dinar serbski,1.671973129494337
51,dinar tunezyjski,1.4656159904179515
52,dirham marokański,1.3095220155168648
