,name,code,value,date
0,bat (Tajlandia),THB,0.114,2023-12-04
1,dolar amerykański,USD,3.985,2023-12-04
2,dolar australijski,AUD,2.651,2023-12-04
3,dolar Hongkongu,HKD,0.51,2023-12-04
4,dolar kanadyjski,CAD,2.9435,2023-12-04
5,dolar nowozelandzki,NZD,2.4669,2023-12-04
6,dolar singapurski,SGD,2.9865,2023-12-04
7,euro,EUR,4.3337,2023-12-04
8,forint (Węgry),HUF,0.011416,2023-12-04
9,frank szwajcarski,CHF,4.5678,2023-12-04
10,funt szterling,GBP,5.0509,2023-12-04
11,hrywna (Ukraina),UAH,0.1091,2023-12-04
12,jen (Japonia),JPY,0.02718,2023-12-04
13,korona czeska,CZK,0.1779,2023-12-04
14,korona duńska,DKK,0.5813,2023-12-04
15,korona islandzka,ISK,0.028681,2023-12-04
16,korona norweska,NOK,0.3712,2023-12-04
17,korona szwedzka,SEK,0.3831,2023-12-04
18,lej rumuński,RON,0.8723,2023-12-04
19,lew (Bułgaria),BGN,2.2158,2023-12-04
20,lira turecka,TRY,0.1381,2023-12-04
21,nowy izraelski szekel,ILS,1.075,2023-12-04
22,peso chilijskie,CLP,0.004639,2023-12-04
23,peso filipińskie,PHP,0.072,2023-12-04
24,peso meksykańskie,MXN,0.2311,2023-12-04
25,rand (Republika Południowej Afryki),ZAR,0.2131,2023-12-04
26,real (Brazylia),BRL,0.8165,2023-12-04
27,ringgit (Malezja),MYR,0.8556,2023-12-04
28,rupia indonezyjska,IDR,0.00025785,2023-12-04
29,rupia indyjska,INR,0.047809,2023-12-04
30,won południowokoreański,KRW,0.003056,2023-12-04
31,yuan renminbi (Chiny),CNY,0.5584,2023-12-04
32,SDR (MFW),XDR,5.3091,2023-12-04
33,bat (Tajlandia),THB,0.1131,2023-12-05
34,dolar amerykański,USD,3.991,2023-12-05
35,dolar australijski,AUD,2.6252,2023-12-05
36,dolar Hongkongu,HKD,0.5107,2023-12-05
37,dolar kanadyjski,CAD,2.9449,2023-12-05
38,dolar nowozelandzki,NZD,2.4545,2023-12-05
39,dolar singapurski,SGD,2.9821,2023-12-05
40,euro,EUR,4.3233,2023-12-05
41,forint (Węgry),HUF,0.011398,2023-12-05
42,frank szwajcarski,CHF,4.5689,2023-12-05
43,funt szterling,GBP,5.0417,2023-12-05
44,hrywna (Ukraina),UAH,0.1088,2023-12-05
45,jen (Japonia),JPY,0.02714,2023-12-05
46,korona czeska,CZK,0.1772,2023-12-05
47,korona duńska,DKK,0.5798,2023-12-05
48,korona islandzka,ISK,0.02865,2023-12-05
49,korona norweska,NOK,0.3677,2023-12-05
50,korona szwedzka,SEK,0.3823,2023-12-05
51,lej rumuński,RON,0.8703,2023-12-05
52,lew (Bułgaria),BGN,2.2104,2023-12-05
53,lira turecka,TRY,0.1382,2023-12-05
54,nowy izraelski szekel,ILS,1.0723,2023-12-05
55,peso chilijskie,CLP,0.004595,2023-12-05
56,peso filipińskie,PHP,0.0722,2023-12-05
57,peso meksykańskie,MXN,0.2284,2023-12-05
58,rand (Republika Południowej Afryki),ZAR,0.2123,2023-12-05
59,real (Brazylia),BRL,0.8071,2023-12-05
60,ringgit (Malezja),MYR,0.8558,2023-12-05
61,rupia indonezyjska,IDR,0.00025742,2023-12-05
62,rupia indyjska,INR,0.047869,2023-12-05
63,won południowokoreański,KRW,0.003035,2023-12-05
64,yuan renminbi (Chiny),CNY,0.5588,2023-12-05
65,SDR (MFW),XDR,5.3013,2023-12-05
66,bat (Tajlandia),THB,0.1144,2023-12-06
67,dolar amerykański,USD,4.0202,2023-12-06
68,dolar australijski,AUD,2.6426,2023-12-06
69,dolar Hongkongu,HKD,0.5148,2023-12-06
70,dolar kanadyjski,CAD,2.9595,2023-12-06
71,dolar nowozelandzki,NZD,2.4713,2023-12-06
72,dolar singapurski,SGD,2.9983,2023-12-06
73,euro,EUR,4.3382,2023-12-06
74,forint (Węgry),HUF,0.011401,2023-12-06
